Category,SubCategory,Property,Amount,Year,Month
Bank Charges,Service Charge,Primary,17.95,2013,December
Bills,Cell Phone,Primary,79.1,2013,December
Bills,Cellular,Primary,17,2013,December
Bills,Electricity,Primary,83.25,2013,December
Bills,Homeowner's Dues,Primary,42.58,2013,December
Bills,Membership Fees,Primary,158.2,2013,December
Bills,Mortgage Payment,Primary,1325.54,2013,December
Bills,Natural Gas/Oil,Primary,68,2013,December
Bills,Online/Internet Service,Primary,45.14,2013,December
Bills,Telephone,Primary,33.89,2013,December
Clothing,Clothing,Primary,14.61,2013,December
Credit Card Payments/Transfers,Credit Card Payments/Transfers,Primary,353,2013,December
Dining Out,Dining Out,Primary,110.85,2013,December
Entertainment,Entertainment,Primary,105.5,2013,December
Groceries,Groceries,Primary,380.38,2013,December
Healthcare,Physician,Primary,-300,2013,December
Home Improvement,Home Improvement,Primary,4.51,2013,December
Insurance,Automobile,Primary,328.33,2013,December
Insurance,Homeowner's/Renter's,Primary,102.94,2013,December
Job Expense,Non-Reimbursed,Primary,400,2013,December
Pet Care,Food,Primary,7.5,2013,December
Travel/Vacation,Miscellaneous,Primary,1140,2013,December
Automobile,Car Payment,Primary,249.96,2014,January
Automobile,Gasoline,Primary,147.56,2014,January
Bank Charges,Service Charge,Primary,17.95,2014,January
Bills,Cell Phone,Primary,79.1,2014,January
Bills,Electricity,Primary,105.4,2014,January
Bills,Homeowner's Dues,Primary,42.58,2014,January
Bills,Mortgage Payment,Primary,1325.54,2014,January
Bills,Natural Gas/Oil,Primary,68,2014,January
Bills,Online/Internet Service,Primary,47.4,2014,January
Bills,Telephone,Primary,33.89,2014,January
Bills,Water & Sewer,Primary,114.74,2014,January
Clothing,Clothing,Primary,19,2014,January
Credit Card Payments/Transfers,Credit Card Payments/Transfers,Primary,239,2014,January
Dining Out,Dining Out,Primary,56.77,2014,January
Groceries,Groceries,Primary,499.76,2014,January
Healthcare,Dental,Primary,334.8,2014,January
Healthcare,Physician,Primary,-600,2014,January
Healthcare,Prescriptions,Primary,37.35,2014,January
Home Improvement,Home Improvement,Primary,63.26,2014,January
Household,Household - Unassigned,Primary,54.49,2014,January
Insurance,Automobile,Primary,328.33,2014,January
Insurance,Homeowner's/Renter's,Primary,51.47,2014,January
Job Expense,Non-Reimbursed,Primary,300,2014,January
Safety Deposit Box,Safety Deposit Box,Primary,79.1,2014,January
Travel/Vacation,Miscellaneous,Primary,184,2014,January
Automobile,Car Payment,Primary,249.96,2014,February
Automobile,Gasoline,Primary,66.2,2014,February
Bank Charges,Service Charge,Primary,17.95,2014,February
Bills,Cell Phone,Primary,79.1,2014,February
Bills,Electricity,Primary,125.86,2014,February
Bills,Homeowner's Dues,Primary,42.58,2014,February
Bills,Mortgage Payment,Primary,1325.54,2014,February
Bills,Natural Gas/Oil,Primary,62,2014,February
Bills,Online/Internet Service,Primary,47.4,2014,February
Bills,Telephone,Primary,33.89,2014,February
Credit Card Payments/Transfers,Credit Card Payments/Transfers,Primary,250,2014,February
Dining Out,Dining Out,Primary,70.87,2014,February
Groceries,Groceries,Primary,440.74,2014,February
Healthcare,Dental,Primary,-864.35,2014,February
Healthcare,Prescriptions,Primary,63.75,2014,February
Insurance,Automobile,Primary,328.33,2014,February
Job Expense,Non-Reimbursed,Primary,300,2014,February
Pet Care,Food,Primary,12.42,2014,February
Taxes,Real Estate Taxes,Primary,625,2014,February
Travel/Vacation,Miscellaneous,Primary,126.78,2014,February
Automobile,Car Payment,Primary,249.96,2014,March
Automobile,Gasoline,Primary,69.25,2014,March
Bank Charges,Service Charge,Primary,19.45,2014,March
Bills,Cell Phone,Primary,79.1,2014,March
Bills,Electricity,Primary,115.22,2014,March
Bills,Homeowner's Dues,Primary,42.58,2014,March
Bills,Mortgage Payment,Primary,1325.54,2014,March
Bills,Natural Gas/Oil,Primary,62,2014,March
Bills,Online/Internet Service,Primary,47.4,2014,March
Bills,Telephone,Primary,33.99,2014,March
Credit Card Payments/Transfers,Credit Card Payments/Transfers,Primary,-1010,2014,March
Entertainment,Entertainment,Primary,19.9,2014,March
Gifts,Gifts,Primary,37.99,2014,March
Groceries,Groceries,Primary,223.45,2014,March
Healthcare,Dental,Primary,906.1,2014,March
Healthcare,Physician,Primary,600,2014,March
Healthcare,Prescriptions,Primary,22.66,2014,March
Hobbies/Leisure,Movies & Video Rentals,Primary,15.98,2014,March
Home Improvement,Home Improvement,Primary,5.64,2014,March
Insurance,Automobile,Primary,306.25,2014,March
Insurance,Homeowner's/Renter's,Primary,102.94,2014,March
Investment,Investment,Primary,860,2014,March
Job Expense,Non-Reimbursed,Primary,300,2014,March
Payment,Payment,Primary,1500,2014,March
Pet Care,Food,Primary,10.87,2014,March
Taxes,Real Estate Taxes,Primary,623,2014,March
Travel/Vacation,Miscellaneous,Primary,1058.04,2014,March
Travel/Vacation,Travel/Vacation - Unassigned,Primary,182.2,2014,March
Automobile,Car Payment,Primary,249.96,2014,April
Automobile,Gasoline,Primary,127.95,2014,April
Bank Charges,Service Charge,Primary,17.95,2014,April
Bills,Cell Phone,Primary,79.1,2014,April
Bills,Electricity,Primary,105.32,2014,April
Bills,Homeowner's Dues,Primary,42.58,2014,April
Bills,Mortgage Payment,Primary,1988.31,2014,April
Bills,Natural Gas/Oil,Primary,70.94,2014,April
Bills,Online/Internet Service,Primary,47.4,2014,April
Bills,Telephone,Primary,33.89,2014,April
Bills,Water & Sewer,Primary,114.74,2014,April
Credit Card Payments/Transfers,Credit Card Payments/Transfers,Primary,1226,2014,April
Entertainment,Entertainment,Primary,21.85,2014,April
Gifts,Gifts,Primary,42.88,2014,April
Groceries,Groceries,Primary,403.9,2014,April
Healthcare,Prescriptions,Primary,14.68,2014,April
Home Improvement,Home Improvement,Primary,0,2014,April
Household,Yard Service,Primary,58.46,2014,April
Insurance,Automobile,Primary,306.25,2014,April
Insurance,Homeowner's/Renter's,Primary,51.47,2014,April
Investment,Investment,Primary,1400,2014,April
Job Expense,Non-Reimbursed,Primary,300,2014,April
Pet Care,Food,Primary,37.64,2014,April
Taxes,Real Estate Taxes,Primary,623,2014,April
Travel/Vacation,Miscellaneous,Primary,126.89,2014,April
Travel/Vacation,Travel/Vacation - Unassigned,Primary,54.7,2014,April
Automobile,Car Payment,Primary,249.96,2014,May
Automobile,Gasoline,Primary,63.56,2014,May
Bank Charges,Service Charge,Primary,28.61,2014,May
Bills,Cell Phone,Primary,79.1,2014,May
Bills,Electricity,Primary,117.23,2014,May
Bills,Homeowner's Dues,Primary,42.58,2014,May
Bills,Membership Fees,Primary,163.15,2014,May
Bills,Mortgage Payment,Primary,1325.54,2014,May
Bills,Natural Gas/Oil,Primary,76,2014,May
Bills,Online/Internet Service,Primary,47.4,2014,May
Bills,Telephone,Primary,33.89,2014,May
Credit Card Payments/Transfers,Credit Card Payments/Transfers,Primary,520,2014,May
Dining Out,Dining Out,Primary,10.48,2014,May
Education,Education - Unassigned,Primary,70.06,2014,May
Education,Tuition,Primary,1200,2014,May
Entertainment,Entertainment,Primary,62.85,2014,May
Groceries,Groceries,Primary,374.47,2014,May
Healthcare,Prescriptions,Primary,11.29,2014,May
Home Improvement,Home Improvement,Primary,12.41,2014,May
Household,Household - Unassigned,Primary,16.74,2014,May
Household,Yard Service,Primary,58.46,2014,May
Insurance,Automobile,Primary,306.25,2014,May
Insurance,Homeowner's/Renter's,Primary,51.47,2014,May
Job Expense,Non-Reimbursed,Primary,400,2014,May
Pet Care,Pet Care - Unassigned,Primary,33.89,2014,May
Travel/Vacation,Miscellaneous,Primary,160.34,2014,May
Automobile,Car Payment,Primary,249.96,2014,June
Automobile,Gasoline,Primary,90.1,2014,June
Bank Charges,Service Charge,Primary,17.95,2014,June
Bills,Cell Phone,Primary,79.1,2014,June
Bills,Electricity,Primary,98.47,2014,June
Bills,Homeowner's Dues,Primary,42.58,2014,June
Bills,Mortgage Payment,Primary,1325.54,2014,June
Bills,Natural Gas/Oil,Primary,76,2014,June
Bills,Online/Internet Service,Primary,47.4,2014,June
Bills,Telephone,Primary,33.89,2014,June
Childcare,Childcare,Primary,104.1,2014,June
Credit Card Payments/Transfers,Credit Card Payments/Transfers,Primary,300,2014,June
Dining Out,Dining Out,Primary,140.67,2014,June
Groceries,Groceries,Primary,449.93,2014,June
Home Improvement,Home Improvement,Primary,58.83,2014,June
Household,Household - Unassigned,Primary,8.75,2014,June
Insurance,Automobile,Primary,306.25,2014,June
Insurance,Homeowner's/Renter's,Primary,51.47,2014,June
Job Expense,Non-Reimbursed,Primary,300,2014,June
Services/Memberships,Services/Memberships,Primary,320,2014,June
Travel/Vacation,Miscellaneous,Primary,139.84,2014,June
Automobile,Car Payment,Primary,249.96,2014,July
Automobile,Gasoline,Primary,110.57,2014,July
Bank Charges,Service Charge,Primary,17.95,2014,July
Bills,Cell Phone,Primary,79.1,2014,July
Bills,Electricity,Primary,99.66,2014,July
Bills,Homeowner's Dues,Primary,42.58,2014,July
Bills,Mortgage Payment,Primary,1325.54,2014,July
Bills,Natural Gas/Oil,Primary,80.6,2014,July
Bills,Online/Internet Service,Primary,47.4,2014,July
Bills,Telephone,Primary,33.89,2014,July
Bills,Water & Sewer,Primary,106.23,2014,July
Credit Card Payments/Transfers,Credit Card Payments/Transfers,Primary,769,2014,July
Dining Out,Dining Out,Primary,150.72,2014,July
Entertainment,Entertainment,Primary,39.55,2014,July
Groceries,Groceries,Primary,307.45,2014,July
Healthcare,Dental,Primary,209.1,2014,July
Healthcare,Prescriptions,Primary,22.74,2014,July
Household,Yard Service,Primary,58.08,2014,July
Insurance,Automobile,Primary,306.25,2014,July
Insurance,Homeowner's/Renter's,Primary,51.47,2014,July
Job Expense,Non-Reimbursed,Primary,300,2014,July
Payment,Payment,Primary,676.5,2014,July
Pet Care,Food,Primary,15.64,2014,July
Taxes,Real Estate Taxes,Primary,641.11,2014,July
Travel/Vacation,Lodging,Primary,17,2014,July
Travel/Vacation,Miscellaneous,Primary,97.22,2014,July
Automobile,Car Payment,Primary,249.96,2014,August
Automobile,Gasoline,Primary,347.96,2014,August
Automobile,Maintenance,Primary,39.57,2014,August
Bank Charges,Service Charge,Primary,17.95,2014,August
Bills,Cell Phone,Primary,99.1,2014,August
Bills,Electricity,Primary,130.1,2014,August
Bills,Homeowner's Dues,Primary,42.58,2014,August
Bills,Mortgage Payment,Primary,1325.54,2014,August
Bills,Natural Gas/Oil,Primary,35.42,2014,August
Bills,Online/Internet Service,Primary,47.4,2014,August
Bills,Telephone,Primary,33.89,2014,August
Childcare,Childcare,Primary,248.5,2014,August
Credit Card Payments/Transfers,Credit Card Payments/Transfers,Primary,1566,2014,August
Dining Out,Dining Out,Primary,96.5,2014,August
Gifts,Gifts,Primary,88.85,2014,August
Groceries,Groceries,Primary,376.98,2014,August
Healthcare,Prescriptions,Primary,6.2,2014,August
Home Improvement,Home Improvement,Primary,20.07,2014,August
Household,Household - Unassigned,Primary,42.06,2014,August
Insurance,Automobile,Primary,306.25,2014,August
Job Expense,Non-Reimbursed,Primary,200,2014,August
Pet Care,Food,Primary,56.16,2014,August
Taxes,Real Estate Taxes,Primary,639,2014,August
Travel/Vacation,Lodging,Primary,141.61,2014,August
Travel/Vacation,Miscellaneous,Primary,159.09,2014,August
Travel/Vacation,Travel/Vacation - Unassigned,Primary,27.84,2014,August
Automobile,Car Payment,Primary,249.96,2014,September
Automobile,Gasoline,Primary,159.46,2014,September
Bank Charges,Service Charge,Primary,20.95,2014,September
Bills,Cell Phone,Primary,69.1,2014,September
Bills,Electricity,Primary,143.02,2014,September
Bills,Homeowner's Dues,Primary,42.58,2014,September
Bills,Mortgage Payment,Primary,1988.31,2014,September
Bills,Natural Gas/Oil,Primary,81,2014,September
Bills,Online/Internet Service,Primary,47.4,2014,September
Bills,Telephone,Primary,33.89,2014,September
Credit Card Payments/Transfers,Credit Card Payments/Transfers,Primary,-189.22,2014,September
Entertainment,Entertainment,Primary,62.95,2014,September
Gifts,Gifts,Primary,40.65,2014,September
Groceries,Groceries,Primary,432.29,2014,September
Healthcare,Prescriptions,Primary,59.54,2014,September
Household,Yard Service,Primary,42.27,2014,September
Insurance,Automobile,Primary,306.25,2014,September
Insurance,Homeowner's/Renter's,Primary,110.62,2014,September
Job Expense,Non-Reimbursed,Primary,300,2014,September
Pet Care,Food,Primary,12.43,2014,September
Taxes,Real Estate Taxes,Primary,639,2014,September
Travel/Vacation,Miscellaneous,Primary,79.98,2014,September
Automobile,Car Payment,Primary,249.96,2014,October
Automobile,Gasoline,Primary,70.79,2014,October
Bank Charges,Service Charge,Primary,17.95,2014,October
Bills,Cell Phone,Primary,79.1,2014,October
Bills,Electricity,Primary,116.46,2014,October
Bills,Homeowner's Dues,Primary,42.58,2014,October
Bills,Mortgage Payment,Primary,1325.54,2014,October
Bills,Natural Gas/Oil,Primary,81,2014,October
Bills,Online/Internet Service,Primary,47.4,2014,October
Bills,Telephone,Primary,33.89,2014,October
Bills,Water & Sewer,Primary,159.34,2014,October
Clothing,Clothing,Primary,24.84,2014,October
Credit Card Payments/Transfers,Credit Card Payments/Transfers,Primary,159.88,2014,October
Dining Out,Dining Out,Primary,90.02,2014,October
Groceries,Groceries,Primary,480.8,2014,October
Hobbies/Leisure,Sporting Goods,Primary,116.24,2014,October
Home Improvement,Home Improvement,Primary,11.28,2014,October
Household,Household - Unassigned,Primary,22.97,2014,October
Insurance,Automobile,Primary,306.25,2014,October
Insurance,Homeowner's/Renter's,Primary,59.03,2014,October
Job Expense,Non-Reimbursed,Primary,300,2014,October
Travel/Vacation,Miscellaneous,Primary,450,2014,October
Automobile,Car Payment,Primary,249.96,2014,November
Automobile,Gasoline,Primary,77.65,2014,November
Bank Charges,Service Charge,Primary,17.95,2014,November
Bills,Cell Phone,Primary,79.1,2014,November
Bills,Electricity,Primary,109.93,2014,November
Bills,Homeowner's Dues,Primary,42.58,2014,November
Bills,Mortgage Payment,Primary,1325.54,2014,November
Bills,Natural Gas/Oil,Primary,81,2014,November
Bills,Online/Internet Service,Primary,259.6,2014,November
Bills,Telephone,Primary,34.33,2014,November
Credit Card Payments/Transfers,Credit Card Payments/Transfers,Primary,0,2014,November
Dining Out,Dining Out,Primary,16.52,2014,November
Groceries,Groceries,Primary,332.64,2014,November
Healthcare,Dental,Primary,0,2014,November
Healthcare,Prescriptions,Primary,16.58,2014,November
Home Improvement,Home Improvement,Primary,16.93,2014,November
Household,Household - Unassigned,Primary,67.23,2014,November
Household,Yard Service,Primary,72,2014,November
Insurance,Automobile,Primary,306.25,2014,November
Job Expense,Non-Reimbursed,Primary,300,2014,November
Pet Care,Food,Primary,15.8,2014,November
Travel/Vacation,Miscellaneous,Primary,588.54,2014,November
Automobile,Car Payment,Primary,249.96,2014,December
Automobile,Gasoline,Primary,135.6,2014,December
Bank Charges,Service Charge,Primary,17.95,2014,December
Bills,Cell Phone,Primary,79.1,2014,December
Bills,Electricity,Primary,109.38,2014,December
Bills,Homeowner's Dues,Primary,42.58,2014,December
Bills,Membership Fees,Primary,163.85,2014,December
Bills,Mortgage Payment,Primary,1325.54,2014,December
Bills,Natural Gas/Oil,Primary,81,2014,December
Bills,Online/Internet Service,Primary,47.4,2014,December
Bills,Telephone,Primary,34.2,2014,December
Credit Card Payments/Transfers,Credit Card Payments/Transfers,Primary,830,2014,December
Dining Out,Dining Out,Primary,282.99,2014,December
Entertainment,Entertainment,Primary,42.85,2014,December
Gifts,Gifts,Primary,288.15,2014,December
Groceries,Groceries,Primary,243.29,2014,December
Healthcare,Prescriptions,Primary,19.19,2014,December
Household,Household - Unassigned,Primary,47.09,2014,December
Insurance,Automobile,Primary,306.25,2014,December
Insurance,Homeowner's/Renter's,Primary,118.06,2014,December
Job Expense,Non-Reimbursed,Primary,400,2014,December
Pet Care,Food,Primary,7.67,2014,December
Travel/Vacation,Miscellaneous,Primary,131.3,2014,December
Automobile,Car Payment,Primary,249.96,2015,January
Automobile,Gasoline,Primary,57.72,2015,January
Bank Charges,Service Charge,Primary,97.05,2015,January
Bills,Cell Phone,Primary,79.1,2015,January
Bills,Electricity,Primary,102.42,2015,January
Bills,Homeowner's Dues,Primary,42.58,2015,January
Bills,Mortgage Payment,Primary,1325.54,2015,January
Bills,Natural Gas/Oil,Primary,68.45,2015,January
Bills,Online/Internet Service,Primary,47.4,2015,January
Bills,Telephone,Primary,34.2,2015,January
Bills,Water & Sewer,Primary,106.23,2015,January
Clothing,Clothing,Primary,134.75,2015,January
Credit Card Payments/Transfers,Credit Card Payments/Transfers,Primary,692,2015,January
Dining Out,Dining Out,Primary,84.82,2015,January
Entertainment,Entertainment,Primary,29.9,2015,January
Groceries,Groceries,Primary,504.08,2015,January
Healthcare,Prescriptions,Primary,10.29,2015,January
Home Improvement,Home Improvement,Primary,9.02,2015,January
Insurance,Automobile,Primary,306.25,2015,January
Insurance,Homeowner's/Renter's,Primary,59.03,2015,January
Job Expense,Non-Reimbursed,Primary,200,2015,January
Payment,Payment,Primary,112,2015,January
Pet Care,Food,Primary,15.5,2015,January
Travel/Vacation,Miscellaneous,Primary,90.91,2015,January
Automobile,Car Payment,Primary,249.96,2015,February
Automobile,Gasoline,Primary,61.61,2015,February
Bank Charges,Service Charge,Primary,17.95,2015,February
Bills,Cell Phone,Primary,79.1,2015,February
Bills,Electricity,Primary,139.42,2015,February
Bills,Homeowner's Dues,Primary,42.58,2015,February
Bills,Mortgage Payment,Primary,1325.54,2015,February
Bills,Natural Gas/Oil,Primary,81,2015,February
Bills,Online/Internet Service,Primary,47.4,2015,February
Bills,Telephone,Primary,34.05,2015,February
Credit Card Payments/Transfers,Credit Card Payments/Transfers,Primary,400,2015,February
Dining Out,Dining Out,Primary,58.68,2015,February
Entertainment,Entertainment,Primary,19.95,2015,February
Groceries,Groceries,Primary,175.62,2015,February
Healthcare,Prescriptions,Primary,39.96,2015,February
Home Improvement,Home Improvement,Primary,11.28,2015,February
Household,Household - Unassigned,Primary,34.29,2015,February
Insurance,Automobile,Primary,306.25,2015,February
Job Expense,Non-Reimbursed,Primary,378.3,2015,February
Taxes,Real Estate Taxes,Primary,633,2015,February
Travel/Vacation,Miscellaneous,Primary,129.51,2015,February
Automobile,Car Payment,Primary,249.96,2015,March
Automobile,Gasoline,Primary,8.22,2015,March
Bank Charges,Service Charge,Primary,19.45,2015,March
Bills,Cell Phone,Primary,79.1,2015,March
Bills,Electricity,Primary,129.61,2015,March
Bills,Homeowner's Dues,Primary,42.58,2015,March
Bills,Mortgage Payment,Primary,1988.31,2015,March
Bills,Natural Gas/Oil,Primary,81,2015,March
Bills,Online/Internet Service,Primary,53.05,2015,March
Bills,Telephone,Primary,34.05,2015,March
Credit Card Payments/Transfers,Credit Card Payments/Transfers,Primary,1150,2015,March
Dining Out,Dining Out,Primary,72.63,2015,March
Groceries,Groceries,Primary,241.33,2015,March
Healthcare,Prescriptions,Primary,8.14,2015,March
Insurance,Automobile,Primary,292.99,2015,March
Insurance,Homeowner's/Renter's,Primary,118.06,2015,March
Job Expense,Non-Reimbursed,Primary,225.2,2015,March
Pet Care,Food,Primary,8.35,2015,March
Pet Care,Pet Care - Unassigned,Primary,19.24,2015,March
Taxes,Real Estate Taxes,Primary,631,2015,March
Automobile,Car Payment,Primary,249.96,2015,April
Automobile,Maintenance,Primary,113.82,2015,April
Bank Charges,Service Charge,Primary,17.95,2015,April
Bills,Cell Phone,Primary,79.1,2015,April
Bills,Electricity,Primary,117.04,2015,April
Bills,Homeowner's Dues,Primary,42.58,2015,April
Bills,Mortgage Payment,Primary,1325.54,2015,April
Bills,Natural Gas/Oil,Primary,81.29,2015,April
Bills,Online/Internet Service,Primary,53.05,2015,April
Bills,Telephone,Primary,34.05,2015,April
Bills,Water & Sewer,Primary,141.64,2015,April
Childcare,Childcare,Primary,24.86,2015,April
Credit Card Payments/Transfers,Credit Card Payments/Transfers,Primary,1201,2015,April
Dining Out,Dining Out,Primary,5.76,2015,April
Entertainment,Entertainment,Primary,22.59,2015,April
Groceries,Groceries,Primary,284.05,2015,April
Healthcare,Eyecare,Primary,280,2015,April
Healthcare,Physician,Primary,-720,2015,April
Healthcare,Prescriptions,Primary,112.11,2015,April
Household,Furnishings,Primary,15.75,2015,April
Household,Household - Unassigned,Primary,107.32,2015,April
Insurance,Automobile,Primary,292.91,2015,April
Insurance,Homeowner's/Renter's,Primary,59.03,2015,April
Investment,Investment,Primary,-763.09,2015,April
Job Expense,Non-Reimbursed,Primary,19.4,2015,April
Pet Care,Food,Primary,2.4,2015,April
Taxes,Real Estate Taxes,Primary,631,2015,April
Taxes,Taxes - Unassigned,Primary,152.22,2015,April
Travel/Vacation,Miscellaneous,Primary,25,2015,April
Automobile,Car Payment,Primary,249.96,2015,May
Bank Charges,Service Charge,Primary,17.95,2015,May
Bills,Cell Phone,Primary,79.1,2015,May
Bills,Electricity,Primary,104.07,2015,May
Bills,Homeowner's Dues,Primary,42.58,2015,May
Bills,Membership Fees,Primary,181.49,2015,May
Bills,Mortgage Payment,Investment,15000,2015,May
Bills,Mortgage Payment,Primary,1325.54,2015,May
Bills,Natural Gas/Oil,Primary,81,2015,May
Bills,Online/Internet Service,Primary,53.05,2015,May
Bills,Telephone,Primary,34.05,2015,May
Credit Card Payments/Transfers,Credit Card Payments/Transfers,Primary,300,2015,May
Dining Out,Dining Out,Primary,93.72,2015,May
Education,Tuition,Primary,1055,2015,May
Groceries,Groceries,Primary,466.78,2015,May
Healthcare,Prescriptions,Primary,87.28,2015,May
Household,Yard Service,Primary,58.46,2015,May
Insurance,Automobile,Primary,292.91,2015,May
Insurance,Automobile - Unassigned,Primary,196,2015,May
Pet Care,Food,Primary,3.23,2015,May
Pet Care,Pet Care - Unassigned,Primary,31.62,2015,May
Automobile,Car Payment,Primary,249.96,2015,June
Bank Charges,Service Charge,Primary,17.95,2015,June
Bills,Cell Phone,Primary,79.1,2015,June
Bills,Electricity,Primary,92.3,2015,June
Bills,Homeowner's Dues,Primary,42.58,2015,June
Bills,Mortgage Payment,Primary,1325.54,2015,June
Bills,Natural Gas/Oil,Primary,81,2015,June
Bills,Online/Internet Service,Primary,53.05,2015,June
Bills,Telephone,Primary,34.05,2015,June
Credit Card Payments/Transfers,Credit Card Payments/Transfers,Primary,3100,2015,June
Entertainment,Entertainment,Primary,29.85,2015,June
Gifts,Gifts,Primary,68.55,2015,June
Groceries,Groceries,Primary,274.1,2015,June
Healthcare,Physician,Primary,-150,2015,June
Healthcare,Prescriptions,Primary,10.16,2015,June
Insurance,Automobile,Primary,292.91,2015,June
Insurance,Homeowner's/Renter's,Primary,118.06,2015,June
Payment,Payment,Primary,140,2015,June
Pet Care,Food,Primary,13.6,2015,June
Travel/Vacation,Miscellaneous,Primary,10.35,2015,June
Travel/Vacation,Travel/Vacation - Unassigned,Primary,33,2015,June
Automobile,Car Payment,Primary,249.96,2015,July
Automobile,Gasoline,Primary,147.53,2015,July
Bank Charges,Service Charge,Primary,17.95,2015,July
Bills,Cell Phone,Primary,79.1,2015,July
Bills,Electricity,Primary,89.94,2015,July
Bills,Homeowner's Dues,Primary,42.58,2015,July
Bills,Mortgage Payment,Primary,1493.33,2015,July
Bills,Natural Gas/Oil,Primary,133.48,2015,July
Bills,Online/Internet Service,Primary,53.05,2015,July
Bills,Telephone,Primary,34.05,2015,July
Bills,Water & Sewer,Primary,132.76,2015,July
Clothing,Clothing,Primary,46.3,2015,July
Credit Card Payments/Transfers,Credit Card Payments/Transfers,Primary,1849,2015,July
Dining Out,Dining Out,Primary,43.69,2015,July
Entertainment,Entertainment,Primary,91.7,2015,July
Gifts,Gifts,Primary,2400,2015,July
Groceries,Groceries,Primary,463.36,2015,July
Healthcare,Physician,Primary,50,2015,July
Healthcare,Prescriptions,Primary,6.2,2015,July
Home Improvement,Home Improvement,Investment,10.82,2015,July
Household,Yard Service,Primary,116.92,2015,July
Insurance,Automobile,Primary,292.91,2015,July
Insurance,Homeowner's/Renter's,Primary,59.03,2015,July
Payment,Payment,Primary,1100,2015,July
Pet Care,Food,Primary,58.69,2015,July
Taxes,Real Estate Taxes,Primary,667.58,2015,July
Travel/Vacation,Miscellaneous,Primary,349.9,2015,July
Travel/Vacation,Travel/Vacation - Unassigned,Primary,18,2015,July
Automobile,Car Payment,Primary,249.96,2015,August
Automobile,Gasoline,Primary,259.85,2015,August
Bank Charges,Service Charge,Primary,23.44,2015,August
Bills,Cell Phone,Primary,79.1,2015,August
Bills,Electricity,Primary,151.35,2015,August
Bills,Homeowner's Dues,Primary,42.58,2015,August
Bills,Mortgage Payment,Primary,1436.12,2015,August
Bills,Natural Gas/Oil,Primary,41.71,2015,August
Bills,Online/Internet Service,Primary,53.05,2015,August
Bills,Telephone,Primary,34.3,2015,August
Childcare,Childcare,Primary,226.96,2015,August
Clothing,Clothing,Primary,131.19,2015,August
Credit Card Payments/Transfers,Credit Card Payments/Transfers,Primary,0,2015,August
Dining Out,Dining Out,Primary,136.28,2015,August
Entertainment,Entertainment,Primary,3.99,2015,August
Groceries,Groceries,Primary,956,2015,August
Healthcare,Physician,Primary,225,2015,August
Healthcare,Prescriptions,Primary,4.52,2015,August
Hobbies/Leisure,Hobbies/Leisure - Unassigned,Primary,16.94,2015,August
Home Improvement,Home Improvement,Primary,6.77,2015,August
Household,Household - Unassigned,Primary,32.6,2015,August
Insurance,Automobile,Primary,292.91,2015,August
Insurance,Homeowner's/Renter's,Primary,107.63,2015,August
Insurance,Homeowner's/Renter's,Investment,73.98,2015,August
Insurance,Insurance - Unassigned,Primary,-3.96,2015,August
Pet Care,Food,Primary,23.31,2015,August
Taxes,Real Estate Taxes,Primary,666,2015,August
Taxes,Real Estate Taxes,Investment,33,2015,August
Taxes,Taxes - Unassigned,Primary,0.52,2015,August
Travel/Vacation,Miscellaneous,Primary,113.56,2015,August
Travel/Vacation,Travel,Primary,2662.14,2015,August
Travel/Vacation,Travel/Vacation - Unassigned,Primary,14.5,2015,August
Automobile,Car Payment,Primary,249.96,2015,September
Automobile,Gasoline,Primary,53.18,2015,September
Bank Charges,Service Charge,Primary,20.44,2015,September
Bills,Cell Phone,Primary,79.1,2015,September
Bills,Electricity,Primary,208.28,2015,September
Bills,Homeowner's Dues,Primary,42.58,2015,September
Bills,Mortgage Payment,Investment,518.55,2015,September
Bills,Mortgage Payment,Primary,1436.12,2015,September
Bills,Natural Gas/Oil,Primary,77,2015,September
Bills,Natural Gas/Oil,Investment,356.25,2015,September
Bills,Online/Internet Service,Primary,53.05,2015,September
Bills,Telephone,Primary,34.05,2015,September
Credit Card Payments/Transfers,Credit Card Payments/Transfers,Primary,0,2015,September
Dining Out,Dining Out,Primary,84.09,2015,September
Groceries,Groceries,Primary,917.84,2015,September
Healthcare,Physician,Primary,20,2015,September
Healthcare,Prescriptions,Primary,27.11,2015,September
Home Improvement,Home Improvement,Investment,29.87,2015,September
Household,Household - Unassigned,Primary,680.43,2015,September
Household,Yard Service,Primary,116.92,2015,September
Insurance,Automobile,Primary,292.91,2015,September
Insurance,Automobile - Unassigned,Primary,81.5,2015,September
Insurance,Homeowner's/Renter's,Primary,78.23,2015,September
Insurance,Homeowner's/Renter's,Investment,36.99,2015,September
Job Expense,Non-Reimbursed,Primary,400,2015,September
Pet Care,Food,Primary,48.6,2015,September
Taxes,Real Estate Taxes,Primary,666,2015,September
Taxes,Taxes - Unassigned,Primary,0.52,2015,September
Travel/Vacation,Miscellaneous,Primary,307.92,2015,September
Automobile,Car Payment,Primary,249.96,2015,October
Automobile,Gasoline,Primary,143.9,2015,October
Automobile,Maintenance,Primary,1030.56,2015,October
Bank Charges,Service Charge,Primary,18.94,2015,October
Bills,Cell Phone,Primary,79.1,2015,October
Bills,Electricity,Primary,201.99,2015,October
Bills,Electricity,Investment,52.84,2015,October
